Customer ID,Recency,Frequency,Monetary,Cluster,Segment
CD-12790,400,5,1860.732,3,At Risk
CG-12040,50,6,904.4680000000001,1,Loyal Customers
CG-12520,339,3,1148.7800000000002,3,At Risk
CH-12070,692,3,1537.236,3,At Risk
CJ-11875,366,1,16.52,3,At Risk
CJ-12010,190,8,11164.974,2,Potential Customers
CK-12205,40,13,3154.855,0,Champions
CK-12325,121,5,2945.321,1,Loyal Customers
CK-12595,44,11,2372.75,0,Champions
CK-12760,83,9,1582.109,0,Champions
CL-11890,107,4,1262.0140000000001,1,Loyal Customers
CL-12565,285,12,10880.546,2,Potential Customers
CL-12700,106,5,2353.586,1,Loyal Customers
CM-11815,132,6,1673.888,1,Loyal Customers
CM-11935,709,2,565.392,3,At Risk
CM-12115,9,4,1661.6100000000001,1,Loyal Customers
CM-12160,27,6,2533.314,1,Loyal Customers
CM-12190,9,6,1475.144,1,Loyal Customers
CM-12235,386,5,2305.712,3,At Risk
CM-12385,38,4,8954.019999999999,2,Potential Customers
CM-12445,437,3,287.99,3,At Risk
CM-12655,28,6,6339.5576,0,Champions
CM-12715,1036,4,3984.4524,3,At Risk
CP-12085,83,8,5402.254,0,Champions
CP-12340,161,8,5888.275,0,Champions
CR-12580,58,4,2148.852,1,Loyal Customers
CR-12625,471,3,475.9,3,At Risk
CR-12730,79,4,1600.55,1,Loyal Customers
CR-12820,86,3,1397.8724,1,Loyal Customers
CS-11845,92,5,1278.954,1,Loyal Customers
CS-11860,163,6,537.632,1,Loyal Customers
CS-11950,26,11,3036.547,0,Champions
CS-12130,490,4,884.64,3,At Risk
CS-12175,233,5,844.4580000000001,1,Loyal Customers
CS-12250,27,12,2754.216,0,Champions
CS-12355,7,11,3202.1620000000003,0,Champions
CS-12400,3,9,3651.8585000000003,0,Champions
CS-12460,28,2,550.644,1,Loyal Customers
CS-12490,425,4,1077.2285,3,At Risk
CS-12505,59,6,5690.054999999999,0,Champions
CT-11995,97,8,3241.898,0,Champions
CV-12295,255,5,2830.6279999999997,1,Loyal Customers
CV-12805,6,9,2370.3136,0,Champions
CW-11905,23,6,1136.592,1,Loyal Customers
CY-12745,61,8,2900.026,0,Champions
Co-12640,550,5,1300.076,3,At Risk
DA-13450,353,4,156.76,3,At Risk
DB-12910,22,8,2171.599,0,Champions
DB-12970,242,5,2839.2272,1,Loyal Customers
DB-13060,17,7,4531.646,0,Champions
DB-13120,49,7,2973.094,0,Champions
DB-13210,10,10,2332.577,0,Champions
DB-13270,54,8,4655.897,0,Champions
DB-13360,265,5,1081.466,1,Loyal Customers
DB-13405,188,4,1711.692,1,Loyal Customers
DB-13555,108,7,3908.8028,0,Champions
DB-13615,34,7,1989.05,0,Champions
DB-13660,13,7,1155.202,1,Loyal Customers
DC-12850,38,9,3336.168,0,Champions
DC-13285,24,5,1174.618,1,Loyal Customers
DD-13570,42,6,269.542,1,Loyal Customers
DE-13255,720,5,2550.874,3,At Risk
DF-13135,701,3,2390.534,3,At Risk
DG-13300,33,5,3195.818,1,Loyal Customers
DH-13075,278,6,4932.872,0,Champions
DH-13675,777,4,1043.096,3,At Risk
DJ-13420,638,4,2012.52,3,At Risk
DJ-13510,49,8,2501.6879999999996,0,Champions
DJ-13630,13,3,3356.398,1,Loyal Customers
DK-12835,22,12,3256.48,0,Champions
DK-12895,46,5,4282.176,1,Loyal Customers
DK-12985,8,5,1687.04,1,Loyal Customers
DK-13090,43,7,2650.557,0,Champions
DK-13150,11,2,797.832,1,Loyal Customers
DK-13225,11,9,4802.394,0,Champions
DK-13375,20,8,3318.486,0,Champions
DL-12865,101,8,1503.112,0,Champions
DL-12925,58,6,3272.2,1,Loyal Customers
DL-13315,23,8,1458.258,0,Champions
DL-13330,58,4,585.02,1,Loyal Customers
DL-13495,77,8,3539.322,0,Champions
DM-12955,115,7,1322.034,1,Loyal Customers
DM-13015,58,7,6345.103,0,Champions
DM-13345,23,8,4074.4719999999998,0,Champions
DM-13525,482,3,1376.792,3,At Risk
DN-13690,218,7,2139.79,0,Champions
DO-13435,134,9,1300.0315,0,Champions
DO-13645,27,7,1267.316,1,Loyal Customers
DP-13000,127,9,1050.636,0,Champions
DP-13105,7,8,2215.002,0,Champions
DP-13165,813,2,1058.616,3,At Risk
DP-13390,359,9,5480.723999999999,0,Champions
DR-12880,4,9,6528.034000000001,0,Champions
DR-12940,51,8,8350.868,2,Potential Customers
DS-13030,94,4,1762.213,1,Loyal Customers
DS-13180,24,9,2881.8128,0,Champions
DV-13045,20,5,1119.483,1,Loyal Customers
DV-13465,30,6,3341.587,1,Loyal Customers
DW-13195,70,6,1080.751,1,Loyal Customers
DW-13480,218,5,5271.628,1,Loyal Customers
DW-13540,99,5,344.08,1,Loyal Customers
DW-13585,243,7,1204.854,1,Loyal Customers
Dl-13600,120,5,755.602,1,Loyal Customers
Dp-13240,85,11,7198.7609999999995,2,Potential Customers
EA-14035,153,13,2846.705,0,Champions
EB-13705,49,9,3644.978,0,Champions
EB-13750,36,10,3236.314,0,Champions
EB-13840,91,5,4358.128,1,Loyal Customers
EB-13870,101,10,2767.219,0,Champions
EB-13930,162,5,944.6000000000001,1,Loyal Customers
EB-13975,1,4,1643.255,1,Loyal Customers
EB-14110,114,6,3071.126,1,Loyal Customers
EB-14170,83,6,1186.326,1,Loyal Customers
EC-14050,54,5,461.914,1,Loyal Customers
ED-13885,136,8,3484.92,0,Champions
EG-13900,23,5,1832.02,1,Loyal Customers
EH-13765,136,12,10310.880000000001,2,Potential Customers
EH-13945,218,8,684.1709999999999,0,Champions
EH-13990,406,6,825.9499999999999,3,At Risk
EH-14005,3,7,1219.53,1,Loyal Customers
EH-14125,153,10,3082.653,0,Champions
EH-14185,106,6,923.884,1,Loyal Customers
EJ-13720,303,4,2162.174,1,Loyal Customers
EJ-14155,58,5,2656.691,1,Loyal Customers
EK-13795,45,4,1303.478,1,Loyal Customers
EL-13735,78,2,124.28,1,Loyal Customers
EM-13810,133,5,2567.0099999999998,1,Loyal Customers
EM-13825,56,8,2339.598,0,Champions
EM-13960,152,5,933.704,1,Loyal Customers
EM-14065,48,4,228.99,1,Loyal Customers
EM-14095,114,4,1041.0420000000001,1,Loyal Customers
EM-14140,49,6,4588.436000000001,0,Champions
EM-14200,159,3,366.822,1,Loyal Customers
EN-13780,288,4,2199.366,1,Loyal Customers
EP-13915,13,17,5478.0608,0,Champions
ER-13855,422,3,1245.788,3,At Risk
ES-14020,41,5,3510.4579999999996,1,Loyal Customers
ES-14080,29,9,4657.924,0,Champions
FA-14230,98,7,2984.054,0,Champions
FC-14245,71,7,3418.742,0,Champions
FC-14335,185,7,3889.366,0,Champions
FG-14260,35,7,1383.144,0,Champions
FH-14275,38,10,4256.272,0,Champions
FH-14350,213,4,2271.284,1,Loyal Customers
FH-14365,6,8,6987.196,2,Potential Customers
FM-14215,8,10,2456.638,0,Champions
FM-14290,37,9,3736.198,0,Champions
FM-14380,146,9,2523.266,0,Champions
FO-14305,39,10,2678.438,0,Champions
FP-14320,24,8,4046.746,0,Champions
FW-14395,363,3,79.75,3,At Risk
GA-14515,150,8,3919.7760000000003,0,Champions
GA-14725,6,11,1398.382,0,Champions
GB-14530,63,11,1568.44,0,Champions
GB-14575,14,5,4716.288,1,Loyal Customers
GD-14590,6,4,1888.07,1,Loyal Customers
GG-14650,44,9,2224.0,0,Champions
GH-14410,76,9,2819.4669999999996,0,Champions
GH-14425,51,4,4172.8460000000005,1,Loyal Customers
GH-14485,388,2,1361.2440000000001,3,At Risk
GH-14665,3,2,146.94080000000002,1,Loyal Customers
GK-14620,113,9,6497.27,2,Potential Customers
GM-14440,84,7,3582.8199999999997,0,Champions
GM-14455,17,6,3078.624,1,Loyal Customers
GM-14500,107,10,1255.682,0,Champions
GM-14680,153,6,3163.628,1,Loyal Customers
GM-14695,118,3,6049.966,1,Loyal Customers
GP-14740,766,2,236.53,3,At Risk
GR-14560,1136,2,1284.38,3,At Risk
GT-14635,57,3,9351.212,2,Potential Customers
GT-14710,37,11,11820.119999999999,2,Potential Customers
GT-14755,35,4,226.436,1,Loyal Customers
GW-14605,29,7,2189.019,0,Champions
GZ-14470,8,9,4355.150000000001,0,Champions
GZ-14545,158,4,2454.6220000000003,1,Loyal Customers
HA-14905,70,7,2163.3,0,Champions
HA-14920,21,8,2584.158,0,Champions
HD-14785,770,3,251.36,3,At Risk
HE-14800,13,4,883.5319999999999,1,Loyal Customers
HF-14995,22,7,2533.1639999999998,0,Champions
HG-14845,55,5,785.628,1,Loyal Customers
HG-14965,24,12,3247.642,0,Champions
HG-15025,7,7,3690.284,0,Champions
HH-15010,73,2,218.668,1,Loyal Customers
HJ-14875,127,5,358.1,1,Loyal Customers
HK-14890,152,8,4877.784,0,Champions
HL-15040,44,6,12873.297999999999,2,Potential Customers
HM-14860,3,10,8236.7648,2,Potential Customers
HM-14980,248,4,736.276,1,Loyal Customers
HP-14815,31,7,1990.314,0,Champions
HR-14770,14,5,1299.288,1,Loyal Customers
HR-14830,160,7,5248.787,0,Champions
HW-14935,118,8,9300.254,2,Potential Customers
HZ-14950,36,5,886.52,1,Loyal Customers
IG-15085,72,4,744.574,1,Loyal Customers
IL-15100,143,7,5040.736,0,Champions
IM-15055,410,3,2872.63,3,At Risk
IM-15070,391,7,4930.474,0,Champions
JA-15970,93,8,6491.026,2,Potential Customers
JB-15400,8,10,1791.605,0,Champions
JB-15925,738,3,900.552,3,At Risk
JB-16000,44,7,644.1188,1,Loyal Customers
JB-16045,8,5,2518.115,1,Loyal Customers
JC-15340,115,4,71.263,1,Loyal Customers
JC-15385,176,1,1058.108,1,Loyal Customers
JC-15775,159,9,2772.055,0,Champions
JC-16105,58,5,858.576,1,Loyal Customers
JD-15790,118,5,2152.352,1,Loyal Customers
JD-15895,395,11,7610.8640000000005,2,Potential Customers
JD-16015,113,6,385.43,1,Loyal Customers
JD-16060,301,3,695.442,1,Loyal Customers
JD-16150,42,8,8828.0305,2,Potential Customers
JE-15475,194,6,1388.682,1,Loyal Customers
JE-15610,49,7,7754.976,2,Potential Customers
JE-15715,47,10,8697.842999999999,2,Potential Customers
JE-15745,52,13,6760.8150000000005,2,Potential Customers
JE-16165,21,3,2697.248,1,Loyal Customers
JF-15190,66,7,2279.5860000000002,0,Champions
JF-15295,226,5,955.124,1,Loyal Customers
JF-15355,106,6,1911.844,1,Loyal Customers
JF-15415,3,6,2371.448,1,Loyal Customers
JF-15490,122,11,1082.918,0,Champions
JF-15565,55,8,4198.332,0,Champions
JG-15115,759,3,2358.676,3,At Risk
JG-15160,2,11,6366.392,0,Champions
JG-15310,3,6,2240.58,1,Loyal Customers
JG-15805,224,6,1507.018,1,Loyal Customers
JH-15430,6,4,309.281,1,Loyal Customers
JH-15820,175,6,528.91,1,Loyal Customers
JH-15910,42,7,959.477,1,Loyal Customers
JH-15985,30,6,7954.9980000000005,2,Potential Customers
JH-16180,405,4,2256.3940000000002,3,At Risk
JJ-15445,484,5,709.178,3,At Risk
JJ-15760,754,2,195.0,3,At Risk
JK-15205,62,5,4427.142,1,Loyal Customers
JK-15325,288,3,383.812,1,Loyal Customers
JK-15370,45,8,2709.632,0,Champions
JK-15625,62,7,3760.028,0,Champions
JK-15640,181,9,4760.434,0,Champions
JK-15730,85,10,4867.2,0,Champions
JK-16090,29,3,3747.668,1,Loyal Customers
JK-16120,118,10,2932.484,0,Champions
JL-15130,9,6,1214.956,1,Loyal Customers
JL-15175,7,5,1571.523,1,Loyal Customers
JL-15235,120,5,2203.7,1,Loyal Customers
JL-15505,50,6,3173.874,1,Loyal Customers
JL-15835,22,11,9799.923,2,Potential Customers
JL-15850,615,6,2725.256,3,At Risk
JM-15250,38,6,3159.1220000000003,1,Loyal Customers
JM-15265,38,5,1804.146,1,Loyal Customers
JM-15535,103,7,1733.443,0,Champions
JM-15580,1,5,303.948,1,Loyal Customers
JM-15655,9,5,864.947,1,Loyal Customers
JM-15865,110,7,7625.076000000001,2,Potential Customers
JM-16195,58,10,2833.9260000000004,0,Champions
JO-15145,58,9,3254.949,0,Champions
JO-15280,93,6,1934.272,1,Loyal Customers
JO-15550,216,5,1090.838,1,Loyal Customers
JP-15460,38,7,1669.135,0,Champions
JP-15520,9,7,3635.594,0,Champions
JP-16135,103,9,1707.71,0,Champions
JR-15670,594,2,1156.658,3,At Risk
JR-15700,69,1,863.88,1,Loyal Customers
JR-16210,34,5,2201.686,1,Loyal Customers
JS-15595,120,4,1417.654,1,Loyal Customers
JS-15685,43,4,1131.0639999999999,1,Loyal Customers
JS-15880,535,5,3868.02,3,At Risk
JS-15940,464,5,469.169,3,At Risk
JS-16030,29,6,2516.494,1,Loyal Customers
JW-15220,43,6,7721.714,2,Potential Customers
JW-15955,6,7,1244.086,1,Loyal Customers
JW-16075,462,4,1428.731,3,At Risk
KA-16525,37,7,1519.506,0,Champions
KB-16240,5,7,3152.6150000000002,0,Champions
KB-16315,297,9,1569.464,0,Champions
KB-16405,118,3,908.821,1,Loyal Customers
KB-16585,231,12,2744.742,0,Champions
KB-16600,2,7,983.922,1,Loyal Customers
KC-16255,408,6,2120.954,3,At Risk
KC-16540,98,4,3908.262,1,Loyal Customers
KC-16675,58,4,1146.05,1,Loyal Customers
KD-16270,485,5,8282.358,2,Potential Customers
KD-16345,42,6,1888.964,1,Loyal Customers
KD-16495,113,12,8181.256,2,Potential Customers
KD-16615,290,5,2243.5099999999998,1,Loyal Customers
KE-16420,27,8,1686.7312,0,Champions
KF-16285,98,7,10604.266,2,Potential Customers
KH-16330,41,8,3312.864,0,Champions
KH-16360,2,6,3100.612,1,Loyal Customers
KH-16510,23,7,5952.859,0,Champions
KH-16630,59,9,3918.9660000000003,0,Champions
KH-16690,3,7,5990.799,0,Champions
KL-16555,17,8,5016.488,0,Champions
KL-16645,48,12,14175.229000000001,2,Potential Customers
KM-16225,15,6,2260.958,1,Loyal Customers
KM-16375,57,8,5620.186,0,Champions
KM-16660,16,5,453.538,1,Loyal Customers
KM-16720,29,8,4909.472,0,Champions
KN-16390,20,9,2617.272,0,Champions
KN-16450,53,5,2171.962,1,Loyal Customers
KN-16705,99,8,2280.58,0,Champions
KS-16300,296,3,88.472,1,Loyal Customers
KT-16465,392,7,3057.1,3,At Risk
KT-16480,101,10,4642.088400000001,0,Champions
KW-16435,97,5,4416.5199999999995,1,Loyal Customers
KW-16570,772,4,449.096,3,At Risk
LA-16780,155,11,8673.222,2,Potential Customers
LB-16735,49,3,50.188,1,Loyal Customers
LB-16795,153,8,4985.676,0,Champions
LC-16870,28,8,2580.7039999999997,0,Champions
LC-16885,17,12,7663.126,2,Potential Customers
LC-16930,42,8,4492.946,0,Champions
LC-16960,437,4,3246.626,3,At Risk
LC-17050,55,5,2095.064,1,Loyal Customers
LC-17140,14,9,2633.582,0,Champions
LD-16855,553,1,5.304,3,At Risk
LD-17005,415,4,1961.934,3,At Risk
LE-16810,22,6,1469.45,1,Loyal Customers
LF-17185,23,7,3930.5089999999996,0,Champions
LH-16750,152,3,287.426,1,Loyal Customers
LH-16900,22,9,2295.332,0,Champions
LH-17020,240,4,318.239,1,Loyal Customers
LH-17155,386,9,1739.689,0,Champions
LL-16840,250,6,2741.2039999999997,1,Loyal Customers
LM-17065,392,5,1346.774,3,At Risk
LO-17170,3,5,644.35,1,Loyal Customers
LP-17080,41,4,756.606,1,Loyal Customers
LP-17095,10,7,3653.399,0,Champions
LR-16915,27,6,5142.892,0,Champions
LR-17035,133,5,1879.306,1,Loyal Customers
LS-16945,179,6,2845.27,1,Loyal Customers
LS-16975,21,9,2988.674,0,Champions
LS-17200,97,6,1010.2560000000001,1,Loyal Customers
LS-17230,778,3,368.88000000000005,3,At Risk
LS-17245,35,6,1008.1360000000001,1,Loyal Customers
LT-16765,27,3,329.876,1,Loyal Customers
LT-17110,35,8,2936.252,0,Champions
LW-16825,89,5,2238.061,1,Loyal Customers
LW-16990,34,6,3230.308,1,Loyal Customers
LW-17125,206,3,1259.04,1,Loyal Customers
LW-17215,22,7,5420.514,0,Champions
MA-17560,65,11,4299.161,0,Champions
MA-17995,187,6,2453.284,1,Loyal Customers
MB-17305,49,10,1548.702,0,Champions
MB-18085,45,7,1428.231,0,Champions
MC-17275,77,8,2725.982,0,Champions
MC-17425,400,5,4432.138,3,At Risk
MC-17575,28,8,1303.893,0,Champions
MC-17590,52,6,2426.067,1,Loyal Customers
MC-17605,113,8,2258.192,0,Champions
MC-17635,190,4,795.154,1,Loyal Customers
MC-17845,2,7,3805.714,0,Champions
MC-18100,42,10,2218.98,0,Champions
MC-18130,370,5,1581.9979999999998,3,At Risk
MD-17350,118,7,3766.382,0,Champions
MD-17860,37,5,1204.91,1,Loyal Customers
ME-17320,43,10,10663.728000000001,2,Potential Customers
ME-17725,29,8,1908.4532,0,Champions
ME-18010,93,4,1256.944,1,Loyal Customers
MF-17665,422,5,937.039,3,At Risk
MF-18250,8,5,1758.3,1,Loyal Customers
MG-17650,30,7,3785.276,0,Champions
MG-17680,93,4,2350.188,1,Loyal Customers
MG-17695,556,3,1342.282,3,At Risk
MG-17875,117,5,1242.8329999999999,1,Loyal Customers
MG-17890,100,9,776.384,0,Champions
MG-18145,85,4,3061.543,1,Loyal Customers
MG-18205,265,1,16.739,1,Loyal Customers
MH-17290,120,6,2394.025,1,Loyal Customers
MH-17440,377,4,400.016,3,At Risk
MH-17455,86,8,2456.1820000000002,0,Champions
MH-17620,156,4,1252.8,1,Loyal Customers
MH-17785,99,7,2203.7780000000002,0,Champions
MH-18025,50,5,2984.948,1,Loyal Customers
MH-18115,6,9,5503.093,0,Champions
MJ-17740,23,7,6320.746,0,Champions
MK-17905,29,8,2302.368,0,Champions
MK-18160,241,4,1031.602,1,Loyal Customers
ML-17395,70,9,2722.843,0,Champions
ML-17410,55,6,2921.5,1,Loyal Customers
ML-17755,30,7,2071.9139999999998,0,Champions
ML-18040,80,3,742.082,1,Loyal Customers
ML-18265,101,2,162.232,1,Loyal Customers
MM-17260,169,4,1314.023,1,Loyal Customers
MM-17920,8,11,3794.0800000000004,0,Champions
MM-18055,62,8,2749.881,0,Champions
MM-18280,86,9,775.414,0,Champions
MN-17935,35,6,2477.946,1,Loyal Customers
MO-17500,73,4,922.487,1,Loyal Customers
MO-17800,105,8,1687.0269999999998,0,Champions
MO-17950,181,2,154.288,1,Loyal Customers
MP-17470,720,7,3206.132,3,At Risk
MP-17965,73,9,3983.6420000000003,0,Champions
MP-18175,17,9,5087.92,0,Champions
MR-17545,126,4,639.178,1,Loyal Customers
MS-17365,274,10,7443.6900000000005,2,Potential Customers
MS-17530,435,4,475.65599999999995,3,At Risk
MS-17710,414,6,1613.402,3,At Risk
MS-17770,122,9,3144.678,0,Champions
MS-17830,453,4,370.348,3,At Risk
MS-17980,27,6,855.116,1,Loyal Customers
MT-17815,50,6,2890.139,1,Loyal Customers
MT-18070,204,4,1319.4498,1,Loyal Customers
MV-17485,28,9,1560.05,0,Champions
MV-18190,20,7,1734.574,0,Champions
MW-18220,18,7,5341.900000000001,0,Champions
MW-18235,45,2,5253.876,1,Loyal Customers
MY-17380,30,7,2254.285,0,Champions
MY-18295,72,11,4152.696,0,Champions
MZ-17335,31,4,593.606,1,Loyal Customers
MZ-17515,283,6,2564.906,1,Loyal Customers
NB-18580,1166,2,273.87199999999996,3,At Risk
NB-18655,20,9,1972.599,0,Champions
NC-18340,225,5,2461.404,1,Loyal Customers
NC-18415,42,6,2218.9900000000002,1,Loyal Customers
NC-18535,7,7,8241.739,2,Potential Customers
NC-18625,205,5,1821.742,1,Loyal Customers
ND-18370,28,9,4326.139,0,Champions
ND-18460,184,6,2893.455,1,Loyal Customers
NF-18385,80,7,8322.826,2,Potential Customers
NF-18475,526,4,377.16200000000003,3,At Risk
NF-18595,115,7,2031.472,0,Champions
NG-18355,49,5,1869.58,1,Loyal Customers
NG-18430,49,5,1395.9379999999999,1,Loyal Customers
NH-18610,190,7,2673.29,0,Champions
NK-18490,71,7,572.048,1,Loyal Customers
NL-18310,59,4,1418.0900000000001,1,Loyal Customers
NM-18445,161,7,6459.344,2,Potential Customers
NM-18520,245,10,2161.979,0,Champions
NP-18325,26,6,5529.62,0,Champions
NP-18670,59,5,3908.402,1,Loyal Customers
NP-18685,407,6,1228.698,3,At Risk
NP-18700,139,7,7903.1825,2,Potential Customers
NR-18550,211,5,2367.277,1,Loyal Customers
NS-18505,7,4,2575.863,1,Loyal Customers
NS-18640,175,13,2964.823,0,Champions
NW-18400,173,7,7234.014,2,Potential Customers
NZ-18565,86,9,2488.31,0,Champions
ON-18715,411,9,1567.52,0,Champions
OT-18730,66,5,3818.624,1,Loyal Customers
PA-19060,104,6,729.408,1,Loyal Customers
PB-18805,26,3,740.356,1,Loyal Customers
PB-19105,58,4,688.324,1,Loyal Customers
PB-19150,98,8,1456.95,0,Champions
PB-19210,689,2,132.738,3,At Risk
PC-18745,3,4,1832.064,1,Loyal Customers
PC-19000,883,2,1061.488,3,At Risk
PF-19120,836,4,9062.864,3,At Risk
PF-19165,197,6,2770.0,1,Loyal Customers
